,description,assist,player,result,periodTime,totalTime,xx,yy,sector_id
1542,2 punti sbagliato,,Derek Ogbeide,missed,440,1640,540.0,140.0,0
1543,3 punti segnato,Jordon Varnado,Charlie Edward Moore,made,481,1681,1395.0,644.0,7
1544,2 punti segnato,Jordon Varnado,Derek Ogbeide,made,517,1717,810.0,224.0,0
1545,2 punti sbagliato,,Charlie Edward Moore,missed,544,1744,990.0,560.0,3
1546,2 punti segnato,,Derek Ogbeide,made,570,1770,555.0,336.0,2
1547,2 punti segnato,,Payton Terrell Willis,made,16,1816,810.0,504.0,3
1548,2 punti sbagliato,,Payton Terrell Willis,missed,52,1852,945.0,700.0,3
1549,3 punti segnato,,Ryan Hawkins,made,75,1875,1155.0,896.0,7
1550,3 punti segnato,Carl Wheatle,Ryan Hawkins,made,117,1917,360.0,812.0,6
1551,3 punti segnato,,Carl Wheatle,made,148,1948,975.0,924.0,7
1552,3 punti segnato,,Payton Terrell Willis,made,194,1994,495.0,868.0,6
1553,2 punti sbagliato,,Payton Terrell Willis,missed,232,2032,810.0,700.0,3
1554,3 punti segnato,,Payton Terrell Willis,made,276,2076,345.0,756.0,6
1555,3 punti segnato,Payton Terrell Willis,Ryan Hawkins,made,317,2117,1080.0,840.0,7
1556,2 punti segnato,Payton Terrell Willis,Derek Ogbeide,made,359,2159,690.0,224.0,0
1557,3 punti segnato,Gianluca Della Rosa,Ryan Hawkins,made,405,2205,90.0,504.0,5
1558,3 punti sbagliato,,Payton Terrell Willis,missed,443,2243,765.0,952.0,7
1559,2 punti segnato,,Payton Terrell Willis,made,503,2303,915.0,420.0,3
1560,2 punti segnato,Derek Ogbeide,Carl Wheatle,made,583,2383,915.0,196.0,0
1561,3 punti sbagliato,,Jordon Varnado,missed,36,36,330.0,812.0,6
1562,2 punti segnato,Jordon Varnado,Derek Ogbeide,made,113,113,735.0,168.0,0
1563,3 punti sbagliato,,Payton Terrell Willis,missed,157,157,1110.0,840.0,7
1564,2 punti sbagliato,,Derek Ogbeide,missed,179,179,720.0,140.0,0
1565,2 punti segnato,Charlie Edward Moore,Derek Ogbeide,made,213,213,765.0,196.0,0
1566,3 punti sbagliato,,Charlie Edward Moore,missed,278,278,405.0,812.0,6
1567,3 punti segnato,Payton Terrell Willis,Jordon Varnado,made,312,312,60.0,308.0,5
1568,2 punti segnato,,Derek Ogbeide,made,368,368,705.0,196.0,0
1569,2 punti segnato,Jordon Varnado,Derek Ogbeide,made,410,410,720.0,140.0,0
1570,3 punti sbagliato,,Jordon Varnado,missed,433,433,1260.0,700.0,7
1571,2 punti segnato,Charlie Edward Moore,Jordon Varnado,made,438,438,870.0,252.0,0
1572,2 punti segnato,Jordon Varnado,Derek Ogbeide,made,462,462,735.0,196.0,0
1573,3 punti sbagliato,,Jordon Varnado,missed,491,491,1350.0,560.0,7
1574,3 punti sbagliato,,Jordon Varnado,missed,600,600,165.0,1064.0,6
1575,2 punti sbagliato,,Jordon Varnado,missed,16,616,570.0,308.0,0
1576,3 punti segnato,Carl Wheatle,Ryan Hawkins,made,75,675,195.0,616.0,6
1577,3 punti sbagliato,,Gianluca Della Rosa,missed,139,739,420.0,812.0,6
1578,2 punti segnato,,Payton Terrell Willis,made,164,764,615.0,224.0,0
1579,3 punti sbagliato,,Ryan Hawkins,missed,191,791,45.0,84.0,5
1580,2 punti segnato,,Carl Wheatle,made,244,844,750.0,476.0,2
1581,3 punti segnato,,Carl Wheatle,made,285,885,1305.0,644.0,7
1582,2 punti segnato,Charlie Edward Moore,Angelo Del Chiaro,made,309,909,855.0,252.0,0
1583,2 punti sbagliato,,Derek Ogbeide,missed,362,962,660.0,224.0,0
1584,2 punti segnato,,Jordon Varnado,made,393,993,825.0,280.0,0
1585,3 punti sbagliato,,Charlie Edward Moore,missed,453,1053,1365.0,644.0,7
1586,2 punti segnato,Payton Terrell Willis,Jordon Varnado,made,486,1086,795.0,168.0,0
1587,3 punti segnato,Gianluca Della Rosa,Jordon Varnado,made,541,1141,720.0,896.0,6
1588,3 punti sbagliato,,Gianluca Della Rosa,missed,568,1168,330.0,728.0,6
1589,3 punti segnato,,Lorenzo Saccaggi,made,31,1231,1125.0,784.0,7
1590,3 punti sbagliato,,Lorenzo Saccaggi,missed,62,1262,1440.0,252.0,8
1591,3 punti segnato,Derek Ogbeide,Payton Terrell Willis,made,74,1274,30.0,140.0,5
1592,3 punti segnato,Jordon Varnado,Payton Terrell Willis,made,103,1303,1095.0,812.0,7
1593,3 punti segnato,Jordon Varnado,Charlie Edward Moore,made,146,1346,615.0,924.0,6
1594,2 punti segnato,Charlie Edward Moore,Jordon Varnado,made,173,1373,750.0,196.0,0
1595,3 punti sbagliato,,Lorenzo Saccaggi,missed,221,1421,240.0,728.0,6
1596,3 punti segnato,Ryan Hawkins,Charlie Edward Moore,made,293,1493,1440.0,140.0,8
1597,3 punti sbagliato,,Payton Terrell Willis,missed,330,1530,330.0,812.0,6
1598,3 punti sbagliato,,Carl Wheatle,missed,382,1582,1455.0,196.0,8
1599,3 punti segnato,,Charlie Edward Moore,made,448,1648,1170.0,784.0,7
1600,2 punti segnato,Carl Wheatle,Derek Ogbeide,made,487,1687,750.0,196.0,0
1601,3 punti segnato,Ryan Hawkins,Charlie Edward Moore,made,526,1726,675.0,924.0,6
1602,2 punti segnato,,Jordon Varnado,made,554,1754,795.0,252.0,0
1603,3 punti sbagliato,,Payton Terrell Willis,missed,600,1800,1125.0,840.0,7
1604,3 punti sbagliato,,Jordon Varnado,missed,15,1815,300.0,812.0,6
