,description,assist,player,result,periodTime,totalTime,xx,yy,sector_id
763,3 punti sbagliato,,Semaj Christon,missed,34,1234,225.0,672.0,6
764,3 punti sbagliato,,Amedeo Della Valle,missed,92,1292,285.0,756.0,6
765,3 punti sbagliato,,Amedeo Della Valle,missed,189,1389,1230.0,784.0,7
766,2 punti sbagliato,,Amedeo Della Valle,missed,275,1475,885.0,560.0,3
767,2 punti segnato,,John Petrucelli,made,318,1518,840.0,168.0,0
768,2 punti sbagliato,,David Reginald Cournooh,missed,348,1548,795.0,168.0,0
769,3 punti sbagliato,,Jason Burnell,missed,426,1626,1380.0,560.0,7
770,3 punti segnato,David Reginald Cournooh,C.J. Massinburg,made,495,1695,300.0,756.0,6
771,3 punti segnato,David Reginald Cournooh,Michael Cobbins,made,543,1743,1260.0,700.0,7
772,3 punti sbagliato,,Kenny Gabriel,missed,571,1771,735.0,924.0,6
773,3 punti sbagliato,,Jason Burnell,missed,598,1798,270.0,812.0,6
774,2 punti sbagliato,,Kenny Gabriel,missed,12,1812,435.0,364.0,2
775,2 punti sbagliato,,David Reginald Cournooh,missed,35,1835,855.0,252.0,0
776,2 punti sbagliato,,Semaj Christon,missed,88,1888,885.0,196.0,0
777,3 punti sbagliato,,Kenny Gabriel,missed,114,1914,1200.0,784.0,7
778,2 punti segnato,,Semaj Christon,made,151,1951,945.0,616.0,3
779,2 punti sbagliato,,Semaj Christon,missed,187,1987,555.0,392.0,2
780,3 punti segnato,Semaj Christon,C.J. Massinburg,made,215,2015,1200.0,756.0,7
781,2 punti segnato,Semaj Christon,Miro Bilan,made,249,2049,735.0,140.0,0
782,2 punti segnato,,Semaj Christon,made,281,2081,570.0,616.0,2
783,2 punti sbagliato,,Semaj Christon,missed,358,2158,705.0,644.0,2
784,3 punti sbagliato,,C.J. Massinburg,missed,433,2233,1080.0,840.0,7
785,2 punti sbagliato,,Semaj Christon,missed,464,2264,540.0,252.0,0
786,3 punti sbagliato,,Amedeo Della Valle,missed,489,2289,210.0,700.0,6
787,2 punti segnato,,Jason Burnell,made,504,2304,765.0,168.0,0
788,3 punti sbagliato,,C.J. Massinburg,missed,554,2354,210.0,672.0,6
