,description,assist,player,result,periodTime,totalTime,xx,yy,sector_id
17006,2 punti segnato,,Stefano Tonut,made,89,689,795.0,252.0,0
17007,3 punti sbagliato,,Nikola Mirotic,missed,130,730,45.0,336.0,5
17008,3 punti sbagliato,,Breein Tyree,missed,142,742,1170.0,812.0,7
17009,2 punti sbagliato,,Alex Poythress,missed,160,760,750.0,308.0,0
17010,2 punti segnato,Brandon Jefferson,Alfonzo Mckinnie,made,181,781,750.0,168.0,0
17011,3 punti sbagliato,,Shavon Shields,missed,202,802,180.0,784.0,6
17012,2 punti sbagliato,,Breein Tyree,missed,224,824,855.0,252.0,0
17013,3 punti segnato,,Brandon Jefferson,made,238,838,1305.0,784.0,7
17014,2 punti segnato,,Shabazz Napier,made,270,870,585.0,616.0,2
17015,2 punti segnato,Brandon Jefferson,Ousmane Diop,made,288,888,780.0,252.0,0
17016,3 punti segnato,,Shabazz Napier,made,304,904,570.0,980.0,6
17017,2 punti sbagliato,,Alessandro Cappelletti,missed,328,928,1185.0,308.0,4
17018,2 punti sbagliato,,Stephane Gombauld,missed,328,928,1185.0,308.0,4
17019,3 punti segnato,Brandon Jefferson,Vasilis Charalampopoulos,made,336,936,165.0,560.0,6
17020,2 punti sbagliato,,Shabazz Napier,missed,351,951,645.0,700.0,2
17021,3 punti sbagliato,,Giampaolo Ricci,missed,359,959,30.0,224.0,5
17022,3 punti sbagliato,,Filip Kruslin,missed,383,983,1260.0,868.0,7
17023,3 punti segnato,Devon Hall,Shavon Shields,made,397,997,15.0,196.0,5
17024,2 punti segnato,Brandon Jefferson,Stephane Gombauld,made,420,1020,900.0,224.0,0
17025,2 punti sbagliato,,Shavon Shields,missed,445,1045,765.0,280.0,0
17026,2 punti sbagliato,,Shavon Shields,missed,447,1047,1230.0,196.0,4
17027,2 punti segnato,,Shabazz Napier,made,469,1069,555.0,252.0,0
17028,2 punti sbagliato,,Devon Hall,missed,492,1092,510.0,196.0,0
17029,2 punti segnato,,Shabazz Napier,made,510,1110,420.0,616.0,2
17030,3 punti segnato,,Brandon Jefferson,made,528,1128,330.0,840.0,6
17031,3 punti segnato,Shabazz Napier,Nikola Mirotic,made,545,1145,945.0,896.0,7
17032,3 punti sbagliato,,Vasilis Charalampopoulos,missed,566,1166,525.0,896.0,6
17033,3 punti segnato,,Shabazz Napier,made,593,1193,705.0,1204.0,6
17034,2 punti segnato,,Breein Tyree,made,18,1218,540.0,644.0,2
17035,3 punti sbagliato,,Giampaolo Ricci,missed,32,1232,450.0,840.0,6
17036,2 punti sbagliato,,Giampaolo Ricci,missed,65,1265,570.0,532.0,2
17037,2 punti segnato,,Breein Tyree,made,76,1276,705.0,224.0,0
17038,2 punti segnato,Shabazz Napier,Alex Poythress,made,95,1295,765.0,224.0,0
17039,3 punti segnato,,Breein Tyree,made,118,1318,525.0,1008.0,6
17040,2 punti sbagliato,,Shabazz Napier,missed,137,1337,780.0,420.0,3
17041,3 punti sbagliato,,Breein Tyree,missed,159,1359,1395.0,504.0,8
17042,3 punti sbagliato,,Shavon Shields,missed,192,1392,1335.0,784.0,7
17043,2 punti segnato,Shavon Shields,Shabazz Napier,made,229,1429,675.0,336.0,0
17044,3 punti sbagliato,,Shavon Shields,missed,260,1460,255.0,756.0,6
